Model,Fold,Metric,Split,Score,,,,,,
dense,12,RMSE,SecondFit_Train,0.323995167,,,,,,
dense,12,Rsquared,SecondFit_Train,0.964321194,,,,,,
dense,12,RMSE,SecondFit_Test,0.508790905,,,,,,
dense,12,Rsquared,SecondFit_Test,0.893331694,,,,,,
dense,13,RMSE,FirstFit_Train,0.256465212,,,,,,
dense,13,Rsquared,FirstFit_Train,0.977870142,,,,,,
dense,13,RMSE,FirstFit_Test,0.461012513,,,,,,
dense,13,Rsquared,FirstFit_Test,0.881466984,,,,,,
dense,13,RMSE,SecondFit_Train,0.256465212,,,,,,
dense,13,Rsquared,SecondFit_Train,0.977870142,,,,,,
dense,13,RMSE,SecondFit_Test,0.461012513,,,,,,
dense,13,Rsquared,SecondFit_Test,0.881466984,,,,,,
dense,14,RMSE,FirstFit_Train,0.564230305,,,,,,
dense,14,Rsquared,FirstFit_Train,0.889993382,,,,,,
dense,14,RMSE,FirstFit_Test,0.61925045,,,,,,
dense,14,Rsquared,FirstFit_Test,0.887797048,,,,,,
dense,14,RMSE,SecondFit_Train,0.331231597,,,,,,
dense,14,Rsquared,SecondFit_Train,0.962088627,,,,,,
dense,14,RMSE,SecondFit_Test,0.609239034,,,,,,
dense,14,Rsquared,SecondFit_Test,0.89139569,,,,,,
dense,15,RMSE,FirstFit_Train,0.285101709,,,,,,
dense,15,Rsquared,FirstFit_Train,0.971864328,,,,,,
dense,15,RMSE,FirstFit_Test,0.44126746,,,,,,
dense,15,Rsquared,FirstFit_Test,0.944054407,,,,,,
dense,15,RMSE,SecondFit_Train,0.285101709,,,,,,
dense,15,Rsquared,SecondFit_Train,0.971864328,,,,,,
dense,15,RMSE,SecondFit_Test,0.44126746,,,,,,
dense,15,Rsquared,SecondFit_Test,0.944054407,,,,,,
dense,16,RMSE,FirstFit_Train,0.34358249,,,,,,
dense,16,Rsquared,FirstFit_Train,0.960429862,,,,,,
dense,16,RMSE,FirstFit_Test,0.549203873,,,,,,
dense,16,Rsquared,FirstFit_Test,0.822035388,,,,,,
dense,16,RMSE,SecondFit_Train,0.236418691,,,,,,
dense,16,Rsquared,SecondFit_Train,0.981264334,,,,,,
dense,16,RMSE,SecondFit_Test,0.525854537,,,,,,
dense,16,Rsquared,SecondFit_Test,0.836846002,,,,,,
dense,17,RMSE,FirstFit_Train,0.252539904,,,,,,
dense,17,Rsquared,FirstFit_Train,0.978276831,,,,,,
dense,17,RMSE,FirstFit_Test,0.514989143,,,,,,
dense,17,Rsquared,FirstFit_Test,0.898368794,,,,,,
dense,17,RMSE,SecondFit_Train,0.252539904,,,,,,
dense,17,Rsquared,SecondFit_Train,0.978276831,,,,,,
dense,17,RMSE,SecondFit_Test,0.514989143,,,,,,
dense,17,Rsquared,SecondFit_Test,0.898368794,,,,,,
dense,18,RMSE,FirstFit_Train,0.220702134,,,,,,
dense,18,Rsquared,FirstFit_Train,0.983454276,,,,,,
dense,18,RMSE,FirstFit_Test,0.534274573,,,,,,
dense,18,Rsquared,FirstFit_Test,0.882515102,,,,,,
dense,18,RMSE,SecondFit_Train,0.221289538,,,,,,
dense,18,Rsquared,SecondFit_Train,0.983366085,,,,,,
dense,18,RMSE,SecondFit_Test,0.507045275,,,,,,
dense,18,Rsquared,SecondFit_Test,0.894185177,,,,,,
dense,19,RMSE,FirstFit_Train,0.23272272,,,,,,
dense,19,Rsquared,FirstFit_Train,0.981335092,,,,,,
dense,19,RMSE,FirstFit_Test,0.660312091,,,,,,
dense,19,Rsquared,FirstFit_Test,0.866150669,,,,,,
dense,19,RMSE,SecondFit_Train,0.23272272,,,,,,
dense,19,Rsquared,SecondFit_Train,0.981335092,,,,,,
dense,19,RMSE,SecondFit_Test,0.660312091,,,,,,
dense,19,Rsquared,SecondFit_Test,0.866150669,,,,,,
,,,,,,dense,LS,LS w/ COSA FW,LS w/ naïve FW,xgboost
,,,,,,0.918853597,0.903390187,0.901310332,0.882626404,0.750645531
,,,,,,0.877549089,0.875421636,0.884321391,0.895151309,0.864752569
,,,,,,0.817686116,0.815028482,0.780811294,0.780518201,0.760130699
,,,,,,0.881644327,0.872514088,0.871720009,0.86323498,0.697169157
,,,,,,0.869166122,0.908671195,0.918026221,0.910050098,0.696953629
,,,,,,0.886458162,0.849172835,0.855291038,0.843294752,0.742662994
,,,,,,0.825309932,0.79050163,0.816872828,0.821923356,0.737248419
,,,,,,0.90128086,0.903711266,0.900489327,0.898600106,0.795425397
,,,,,,0.68194399,0.648675332,0.648861532,0.667175533,0.53543216
,,,,,,0.893733652,0.903623404,0.887701517,0.889481322,0.815857512
,,,,,,0.842315292,0.858203311,0.849303423,0.853543872,0.796179609
,,,,,,0.905109081,0.900801803,0.906573737,0.917593747,0.845153359
,,,,,,0.893331694,0.881670805,0.878147734,0.900193275,0.732778192
,,,,,,0.881466984,0.897159363,0.899150127,0.892611775,0.76954514
,,,,,,0.89139569,0.896091519,0.910240321,0.90184824,0.622127498
,,,,,,0.944054407,0.936947796,0.939495916,0.934885003,0.822666517
,,,,,,0.836846002,0.840121041,0.810009995,0.840993101,0.726762883
,,,,,,0.898368794,0.903252009,0.901002612,0.898450931,0.817720768
,,,,,,0.894185177,0.876663631,0.875134198,0.874461315,0.695785052
,,,,,,0.866150669,0.830965819,0.843089109,0.850740021,0.735042059
,,,,,,,,,,
,,,,,,0.87,0.865,0.864,0.866,0.748001957
,,,,,,0.054,0.062,0.064,0.059,0.077200706
,,,,,,,,,,
,,,,,,,0.209759013,0.178302304,0.342459143,2.64389E-08
