Model,Fold,Metric,Split,Score
LSwFW,13,Rsquared,SecondFit_Test,0.97414818
LSwFW,14,RMSE,FirstFit_Train,0.213584282
LSwFW,14,Rsquared,FirstFit_Train,0.984907173
LSwFW,14,RMSE,FirstFit_Test,0.457433649
LSwFW,14,Rsquared,FirstFit_Test,0.88485686
LSwFW,14,RMSE,SecondFit_Train,0.213584282
LSwFW,14,Rsquared,SecondFit_Train,0.984907173
LSwFW,14,RMSE,SecondFit_Test,0.457433649
LSwFW,14,Rsquared,SecondFit_Test,0.88485686
LSwFW,15,RMSE,FirstFit_Train,0.177060237
LSwFW,15,Rsquared,FirstFit_Train,0.989354881
LSwFW,15,RMSE,FirstFit_Test,0.289683183
LSwFW,15,Rsquared,FirstFit_Test,0.972700052
LSwFW,15,RMSE,SecondFit_Train,0.103319198
LSwFW,15,Rsquared,SecondFit_Train,0.996375313
LSwFW,15,RMSE,SecondFit_Test,0.278263238
LSwFW,15,Rsquared,SecondFit_Test,0.974810072
LSwFW,16,RMSE,FirstFit_Train,0.441144239
LSwFW,16,Rsquared,FirstFit_Train,0.933889347
LSwFW,16,RMSE,FirstFit_Test,0.532261016
LSwFW,16,Rsquared,FirstFit_Test,0.868382172
LSwFW,16,RMSE,SecondFit_Train,0.441144239
LSwFW,16,Rsquared,SecondFit_Train,0.933889347
LSwFW,16,RMSE,SecondFit_Test,0.532261016
LSwFW,16,Rsquared,SecondFit_Test,0.868382172
LSwFW,17,RMSE,FirstFit_Train,0.190997541
LSwFW,17,Rsquared,FirstFit_Train,0.987930951
LSwFW,17,RMSE,FirstFit_Test,0.422282113
LSwFW,17,Rsquared,FirstFit_Test,0.901474597
LSwFW,17,RMSE,SecondFit_Train,0.190997541
LSwFW,17,Rsquared,SecondFit_Train,0.987930951
LSwFW,17,RMSE,SecondFit_Test,0.422282113
LSwFW,17,Rsquared,SecondFit_Test,0.901474597
LSwFW,18,RMSE,FirstFit_Train,0.309942784
LSwFW,18,Rsquared,FirstFit_Train,0.96804278
LSwFW,18,RMSE,FirstFit_Test,0.611579548
LSwFW,18,Rsquared,FirstFit_Test,0.817500566
LSwFW,18,RMSE,SecondFit_Train,0.309942784
LSwFW,18,Rsquared,SecondFit_Train,0.96804278
LSwFW,18,RMSE,SecondFit_Test,0.611579548
LSwFW,18,Rsquared,SecondFit_Test,0.817500566
LSwFW,19,RMSE,FirstFit_Train,0.543963877
LSwFW,19,Rsquared,FirstFit_Train,0.900738386
LSwFW,19,RMSE,FirstFit_Test,0.830092614
LSwFW,19,Rsquared,FirstFit_Test,0.657891612
LSwFW,19,RMSE,SecondFit_Train,0.543963877
LSwFW,19,Rsquared,SecondFit_Train,0.900738386
LSwFW,19,RMSE,SecondFit_Test,0.830092614
LSwFW,19,Rsquared,SecondFit_Test,0.657891612
