Model,Fold,Metric,Split,Score,,,,,
dense,13,RMSE,FirstFit_Train,0.247807786,,,,,
dense,13,Rsquared,FirstFit_Train,0.979310354,,,,,
dense,13,RMSE,FirstFit_Test,0.26734369,,,,,
dense,13,Rsquared,FirstFit_Test,0.974972471,,,,,
dense,13,RMSE,SecondFit_Train,0.247807786,,,,,
dense,13,Rsquared,SecondFit_Train,0.979310354,,,,,
dense,13,RMSE,SecondFit_Test,0.26734369,,,,,
dense,13,Rsquared,SecondFit_Test,0.974972471,,,,,
dense,14,RMSE,FirstFit_Train,0.272660728,,,,,
dense,14,Rsquared,FirstFit_Train,0.97540328,,,,,
dense,14,RMSE,FirstFit_Test,0.430141279,,,,,
dense,14,Rsquared,FirstFit_Test,0.898186798,,,,,
dense,14,RMSE,SecondFit_Train,0.272660728,,,,,
dense,14,Rsquared,SecondFit_Train,0.97540328,,,,,
dense,14,RMSE,SecondFit_Test,0.430141279,,,,,
dense,14,Rsquared,SecondFit_Test,0.898186798,,,,,
dense,15,RMSE,FirstFit_Train,0.231112933,,,,,
dense,15,Rsquared,FirstFit_Train,0.981863356,,,,,
dense,15,RMSE,FirstFit_Test,0.274555074,,,,,
dense,15,Rsquared,FirstFit_Test,0.975476966,,,,,
dense,15,RMSE,SecondFit_Train,0.131754504,,,,,
dense,15,Rsquared,SecondFit_Train,0.994105603,,,,,
dense,15,RMSE,SecondFit_Test,0.272279334,,,,,
dense,15,Rsquared,SecondFit_Test,0.975881816,,,,,
dense,16,RMSE,FirstFit_Train,0.192893793,,,,,
dense,16,Rsquared,FirstFit_Train,0.98736001,,,,,
dense,16,RMSE,FirstFit_Test,0.360847383,,,,,
dense,16,Rsquared,FirstFit_Test,0.939505969,,,,,
dense,16,RMSE,SecondFit_Train,0.192893793,,,,,
dense,16,Rsquared,SecondFit_Train,0.98736001,,,,,
dense,16,RMSE,SecondFit_Test,0.360847383,,,,,
dense,16,Rsquared,SecondFit_Test,0.939505969,,,,,
dense,17,RMSE,FirstFit_Train,0.211329112,,,,,
dense,17,Rsquared,FirstFit_Train,0.985224705,,,,,
dense,17,RMSE,FirstFit_Test,0.380884415,,,,,
dense,17,Rsquared,FirstFit_Test,0.919845252,,,,,
dense,17,RMSE,SecondFit_Train,0.211329112,,,,,
dense,17,Rsquared,SecondFit_Train,0.985224705,,,,,
dense,17,RMSE,SecondFit_Test,0.380884415,,,,,
dense,17,Rsquared,SecondFit_Test,0.919845252,,,,,
dense,18,RMSE,FirstFit_Train,0.349001156,,,,,
dense,18,Rsquared,FirstFit_Train,0.959480912,,,,,
dense,18,RMSE,FirstFit_Test,0.571813792,,,,,
dense,18,Rsquared,FirstFit_Test,0.840461734,,,,,
dense,18,RMSE,SecondFit_Train,0.349001156,,,,,
dense,18,Rsquared,SecondFit_Train,0.959480912,,,,,
dense,18,RMSE,SecondFit_Test,0.571813792,,,,,
dense,18,Rsquared,SecondFit_Test,0.840461734,,,,,
dense,19,RMSE,FirstFit_Train,0.232578703,,,,,
dense,19,Rsquared,FirstFit_Train,0.981853992,,,,,
dense,19,RMSE,FirstFit_Test,0.83201491,,,,,
dense,19,Rsquared,FirstFit_Test,0.656305295,,,,,
dense,19,RMSE,SecondFit_Train,0.232578703,,,,,
dense,19,Rsquared,SecondFit_Train,0.981853992,,,,,
dense,19,RMSE,SecondFit_Test,0.83201491,,,,,
dense,19,Rsquared,SecondFit_Test,0.656305295,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,dense,LS,LS w COSA FW,LS w naïve FW,xgboost
,,,,,0.916,0.913,0.912,0.917,0.803
,,,,,0.968,0.967,0.962,0.959,0.907
,,,,,0.903,0.931,0.932,0.933,0.900
,,,,,0.972,0.937,0.895,0.918,0.842
,,,,,0.957,0.961,0.952,0.965,0.893
,,,,,0.961,0.957,0.950,0.955,0.801
,,,,,0.891,0.848,0.860,0.843,0.734
,,,,,0.900,0.892,0.889,0.918,0.820
,,,,,0.690,0.657,0.665,0.668,0.634
,,,,,0.907,0.927,0.924,0.918,0.723
,,,,,0.903,0.839,0.809,0.839,0.832
,,,,,0.917,0.888,0.935,0.922,0.546
,,,,,0.941,0.941,0.957,0.944,0.810
,,,,,0.975,0.968,0.974,0.974,0.968
,,,,,0.898,0.899,0.885,0.891,0.704
,,,,,0.976,0.980,0.975,0.976,0.893
,,,,,0.940,0.906,0.868,0.928,0.515
,,,,,0.920,0.913,0.901,0.891,0.729
,,,,,0.840,0.809,0.818,0.774,0.704
,,,,,0.656,0.628,0.658,0.705,0.447
,,,,,,,,,
,,,,,0.902,0.888,0.886,0.892,0.760
,,,,,0.086,0.095,0.090,0.086,0.140
,,,,,,,,,
,,,,,,0.016,0.046,0.170,1.03E-05
