epoch,accuracy,loss,val_accuracy,val_loss
0,0.49777777777777776,0.7626990733458294,0.41,1.1078016858577429
1,0.5344444444444445,0.7095124705502793,0.41,0.9204281187289602
2,0.5522222222222222,0.6781616551124949,0.46,0.8591063535413725
3,0.5622222222222222,0.6541290377012243,0.48,0.9024046949555948
4,0.5966666666666667,0.6519213749764382,0.48,0.8215388740916881
5,0.5966666666666667,0.639950833179572,0.57,0.6981566471337994
6,0.6166666666666667,0.6227297038246294,0.59,0.8045867901736713
7,0.6366666666666667,0.6239191301387538,0.53,0.8123978363701062
8,0.6311111111111111,0.616505024768334,0.61,0.7137470127183937
9,0.6633333333333333,0.6005010575974576,0.54,0.8155441911862372
10,0.6577777777777778,0.5959292476399582,0.47,0.9603669814287918
11,0.6822222222222222,0.5848736939917976,0.61,0.7273943029971754
12,0.6755555555555556,0.5750176619549158,0.6,0.8318702057048468
13,0.65,0.5952776141336561,0.64,0.7361476292309002
14,0.6822222222222222,0.5707700581541989,0.52,1.046440855187245
15,0.6822222222222222,0.5737384461945838,0.62,0.7376795236712881
16,0.6777777777777778,0.5533894040718689,0.58,0.7899051931905903
17,0.7177777777777777,0.5380359723180218,0.59,0.950956394356087
18,0.7233333333333334,0.5340494831279293,0.55,1.0019144378804168
19,0.7288888888888889,0.5128280227704304,0.52,1.0884719976857835
20,0.6944444444444444,0.561851838010872,0.56,0.9427009417599693
21,0.75,0.5077860097143134,0.55,1.1515723206453898
22,0.7244444444444444,0.5117612774454037,0.63,0.801834634429443
23,0.75,0.48871424509522104,0.52,1.189198833874217
24,0.7522222222222222,0.4928729185446701,0.67,0.9360748110865477
25,0.7466666666666667,0.5021265701724251,0.63,0.7675231164009785
26,0.7633333333333333,0.4544343703035338,0.63,0.8161515924745746
27,0.7533333333333333,0.4673248423160017,0.6,0.8332762695535313
28,0.7955555555555556,0.42159983779780696,0.65,1.0818588890044742
29,0.7644444444444445,0.5092267753127185,0.6,1.2767660798094094
30,0.7866666666666666,0.45564996940795105,0.61,0.9434219513412387
31,0.7855555555555556,0.4275502846483257,0.58,1.0360972518546219
32,0.7922222222222223,0.42332584709825977,0.63,1.264481238216347
33,0.7833333333333333,0.44854901457715707,0.52,1.0947463098319932
34,0.8166666666666667,0.3924458804264174,0.61,0.9034148254232629
35,0.8044444444444444,0.39976182331139026,0.6,0.8304016650070422
36,0.8233333333333334,0.36316584246911787,0.63,0.9251156473427797
37,0.8277777777777777,0.35611273310174546,0.56,1.4235521350299638
38,0.8244444444444444,0.3762625192576899,0.65,1.347246908839079
39,0.8177777777777778,0.40714000701602404,0.67,1.032574433095923
40,0.83,0.3683732264281564,0.55,1.7815656899783772
41,0.8222222222222222,0.40019056047686696,0.59,0.9882432045974671
42,0.8588888888888889,0.313965988304616,0.51,1.8809727423356972
43,0.8344444444444444,0.36908387920695196,0.67,0.9692255629940887
44,0.8622222222222222,0.299550044009265,0.66,0.9228798881037327
45,0.8811111111111111,0.275500272501349,0.68,0.8487902755584055
46,0.8722222222222222,0.2658124688609553,0.64,1.9281528013598852
47,0.8422222222222222,0.3764075586901834,0.67,1.0524398391765972
48,0.8777777777777778,0.27956532768689757,0.62,1.2257111417934345
49,0.88,0.28145234986343,0.62,1.0409466198810922
50,0.8744444444444445,0.2782723021701459,0.58,1.1880093311562752
51,0.8788888888888889,0.27859173785048197,0.64,1.311209013958681
52,0.8933333333333333,0.24233422638559915,0.62,1.064756317719176
53,0.9055555555555556,0.2179721069133591,0.59,1.2115926283480591
54,0.8788888888888889,0.2559621411188946,0.64,1.342831027576469
55,0.8922222222222222,0.24981405543111018,0.67,1.199186137095389
56,0.9177777777777778,0.2057452633413076,0.65,1.2398912545411733
57,0.9011111111111111,0.22052890267420786,0.68,1.015423550838133
58,0.9211111111111111,0.19480571176270356,0.65,1.4271394096072674
59,0.9255555555555556,0.19585766887146192,0.62,1.331537830643268
60,0.9422222222222222,0.15399293055329213,0.65,1.2591406230677837
61,0.9277777777777778,0.16909867184680347,0.57,1.3531720759721884
62,0.9333333333333333,0.16112222920965494,0.64,1.5117273272463279
63,0.92,0.1956254209292845,0.65,1.2004721057764731
64,0.9488888888888889,0.13569670912404702,0.62,1.5730838234685356
65,0.9455555555555556,0.12364613457598658,0.67,1.4192867861497627
66,0.9255555555555556,0.18684566250649037,0.61,2.4596389315602516
67,0.8444444444444444,0.48321767831805007,0.67,1.0733774098976603
68,0.9222222222222223,0.19958150559859966,0.63,2.0465913729060405
69,0.9022222222222223,0.24803568883015842,0.64,1.1975554384164162
70,0.9611111111111111,0.11346712857400228,0.65,1.2504429417657343
71,0.9577777777777777,0.11432200512932393,0.68,1.1104580741285133
72,0.9633333333333334,0.08545615732275352,0.67,1.1837706372360741
73,0.9655555555555555,0.09486202670195104,0.68,1.1457116198422432
74,0.9777777777777777,0.07584155040997555,0.68,1.71147566062795
75,0.94,0.17006160425951133,0.6,1.6184275972460036
76,0.9588888888888889,0.1087608158084371,0.67,1.1952032605878036
77,0.9677777777777777,0.10036598447334592,0.68,1.2986604017831735
78,0.9811111111111112,0.0637541779446483,0.68,1.2285274825405426
79,0.9877777777777778,0.053231790140541226,0.66,1.30156705971178
80,0.9866666666666667,0.04761170374304116,0.67,1.3426595393638316
81,0.9911111111111112,0.042681964227640035,0.65,1.294018785234639
82,0.9933333333333333,0.038609477541637016,0.66,1.4809452587141476
83,0.9966666666666667,0.03133649148530516,0.66,1.3663644024352335
84,0.9966666666666667,0.03250309992133979,0.65,1.5144435126981
85,0.9988888888888889,0.02622853609190304,0.68,1.3604942388393717
86,1.0,0.022948670194643132,0.64,1.3767045808269376
87,1.0,0.021904444020763317,0.66,1.3854414208553267
88,1.0,0.0195371008995368,0.69,1.4966473370164892
89,0.9977777777777778,0.023097621052996755,0.67,1.4353532148966974
90,1.0,0.01854527429503357,0.65,1.6929631756063668
91,0.9844444444444445,0.06587050149847666,0.68,1.4711039257697565
92,0.9944444444444445,0.03132998403332364,0.65,1.5500662737653355
93,1.0,0.017764564526565305,0.64,1.49784355593265
94,1.0,0.015168737137330725,0.67,1.475948028672225
95,1.0,0.013733823602114488,0.66,1.512862442970334
96,1.0,0.01287738472594913,0.65,1.608079041975999
97,0.9988888888888889,0.015334342907211605,0.65,1.5778000381429556
98,1.0,0.01168398051365778,0.68,1.5080801325473425
99,1.0,0.010915952061845488,0.71,1.5487672456493728
100,1.0,0.012329647808731185,0.66,1.5751174743625063
101,1.0,0.010080427977662548,0.65,1.678426473040962
102,1.0,0.010584858851993463,0.66,1.5817731064708018
103,1.0,0.00960179521658538,0.7,1.5156868583794059
104,0.9988888888888889,0.013180865121227911,0.66,1.6431226150357816
105,1.0,0.008907054229802706,0.65,1.6466887257093274
106,1.0,0.00868104954187424,0.68,1.5579620697369654
107,1.0,0.008534197671011587,0.65,1.6522006455930278
108,1.0,0.008173358738627933,0.66,1.658779693538327
109,1.0,0.00807773655974655,0.66,1.6812651221588522
110,1.0,0.007755834711168657,0.66,1.688465849209649
111,1.0,0.007301392757202075,0.68,1.6457813635401708
112,1.0,0.007349569786744345,0.66,1.670432640847726
113,1.0,0.007054476873390225,0.67,1.6850436000210736
114,1.0,0.006896122946480162,0.66,1.6982053613858725
115,1.0,0.006757594379141476,0.66,1.705773031220032
116,1.0,0.006820182459957621,0.65,1.7277060449490542
117,1.0,0.006522547097768917,0.65,1.7146963686288643
118,1.0,0.006396980413274655,0.64,1.714465278596747
119,1.0,0.0061655944978654415,0.67,1.7368279672040747
120,1.0,0.006246931110009255,0.66,1.7452228859873613
121,1.0,0.005954637692471433,0.63,1.7534208622426184
122,1.0,0.006328912068017597,0.66,1.7401399567023006
123,1.0,0.0057522323377554715,0.66,1.7698418725392546
124,1.0,0.005617041939231445,0.68,1.7629177005396064
125,1.0,0.005708587080886024,0.66,1.7974434681904716
126,1.0,0.005598107789111844,0.67,1.7905320565296834
127,1.0,0.005421045461708682,0.66,1.7824601560632045
128,1.0,0.005290987943268202,0.65,1.791082015132859
129,1.0,0.005278796808053058,0.67,1.813278976895844
130,1.0,0.00516398621852599,0.66,1.8103065805900354
