epoch,auc,loss,val_auc,val_loss
0,0.5178921222686768,0.6466215252876282,0.43560439348220825,0.6716970205307007
1,0.5743792653083801,0.6385084986686707,0.40219777822494507,0.6771343946456909
2,0.5844814777374268,0.6362885236740112,0.4118681252002716,0.6814903020858765
3,0.6042520999908447,0.6332886815071106,0.42263734340667725,0.6757871508598328
4,0.5899282693862915,0.6346815228462219,0.45230770111083984,0.6770296692848206
5,0.6267348527908325,0.6277410984039307,0.4567032754421234,0.6747902035713196
6,0.6358738541603088,0.6265859007835388,0.47428569197654724,0.6835391521453857
7,0.6295230388641357,0.6265631914138794,0.44967031478881836,0.6775095462799072
8,0.6283063888549805,0.6271435022354126,0.48879122734069824,0.6712246537208557
9,0.6518226861953735,0.6211883425712585,0.4806593656539917,0.6710491180419922
10,0.65195232629776,0.6214703321456909,0.5057142972946167,0.6740009784698486
11,0.667743444442749,0.617669939994812,0.4665934145450592,0.6812246441841125
12,0.6706808805465698,0.6156260371208191,0.49560439586639404,0.6756983399391174
13,0.6873366832733154,0.6096106171607971,0.5296703577041626,0.678266704082489
14,0.702775776386261,0.6055475473403931,0.5134066343307495,0.673963725566864
15,0.6935691237449646,0.6057331562042236,0.5140659213066101,0.6734426617622375
16,0.7144100069999695,0.5997862219810486,0.525054931640625,0.677085816860199
17,0.7220451831817627,0.5962018370628357,0.5316483378410339,0.673332691192627
18,0.709875762462616,0.599787175655365,0.5140659809112549,0.6845367550849915
19,0.7237010598182678,0.5933477282524109,0.522857129573822,0.7243150472640991
20,0.7198596000671387,0.5939775109291077,0.5235164761543274,0.6865585446357727
21,0.7252894639968872,0.5924232602119446,0.5457143187522888,0.6741894483566284
22,0.7295618653297424,0.591418445110321,0.570549488067627,0.6661729216575623
23,0.7429226040840149,0.5849891901016235,0.5360439419746399,0.6879141330718994
24,0.7448686361312866,0.5812880396842957,0.545494556427002,0.7080391645431519
25,0.7358704805374146,0.5835367441177368,0.5323076844215393,0.6934126019477844
26,0.7568408846855164,0.5757317543029785,0.5050548911094666,0.7047698497772217
27,0.758736252784729,0.5735481977462769,0.5136263966560364,0.7114230990409851
28,0.7522079944610596,0.5763721466064453,0.5397801995277405,0.7067645788192749
29,0.7605809569358826,0.5723105669021606,0.5285714864730835,0.6988950371742249
30,0.7657404541969299,0.569219172000885,0.5419780015945435,0.6946365833282471
31,0.782339870929718,0.558702826499939,0.5373626947402954,0.6923635005950928
32,0.7840747833251953,0.5606720447540283,0.5474725365638733,0.701809823513031
33,0.7781885862350464,0.5591596364974976,0.554505467414856,0.6972172260284424
34,0.7961596846580505,0.5529188513755798,0.5208790898323059,0.7108280658721924
35,0.7745696902275085,0.5611980557441711,0.5481318235397339,0.7094663381576538
36,0.8034934401512146,0.5444060564041138,0.525054931640625,0.7520233392715454
37,0.8014459013938904,0.5446919798851013,0.535824179649353,0.7165740728378296
38,0.8038341999053955,0.5437729358673096,0.5224175453186035,0.7252745032310486
39,0.8064702749252319,0.5412490367889404,0.550989031791687,0.7424975037574768
40,0.8132603764533997,0.5379247665405273,0.567472517490387,0.7001336812973022
41,0.8143869638442993,0.5359658002853394,0.5496703386306763,0.7057958245277405
42,0.8189831376075745,0.5302912592887878,0.5303296446800232,0.7491635680198669
43,0.8245313763618469,0.5286681056022644,0.5105494260787964,0.7644773721694946
44,0.8178763389587402,0.5278602838516235,0.5226373672485352,0.7450374364852905
45,0.8395705223083496,0.5146033763885498,0.5597802400588989,0.7668495178222656
46,0.8372752666473389,0.5149276852607727,0.542417585849762,0.7215176224708557
47,0.833138108253479,0.5188325047492981,0.5358241200447083,0.7395365834236145
48,0.8475971221923828,0.5071852207183838,0.546593427658081,0.736816942691803
49,0.8356783986091614,0.5164828300476074,0.5371428728103638,0.7370222210884094
50,0.8459438681602478,0.5077143311500549,0.5562637448310852,0.7245771884918213
51,0.852891743183136,0.5022540092468262,0.5395604372024536,0.7464935779571533
52,0.8566038012504578,0.500272810459137,0.5630769729614258,0.760081946849823
53,0.8648077249526978,0.4912150502204895,0.5309890508651733,0.7962085604667664
54,0.8686097860336304,0.48938944935798645,0.5413187146186829,0.7783379554748535
55,0.8754393458366394,0.4808856248855591,0.5239560604095459,0.7820725440979004
56,0.8799257278442383,0.4780372679233551,0.560879111289978,0.7544476389884949
57,0.8829758763313293,0.473538875579834,0.5595604777336121,0.7440689206123352
58,0.8817170262336731,0.4717969298362732,0.5520879030227661,0.8156326413154602
59,0.8847050666809082,0.4702756404876709,0.5454944968223572,0.7723461389541626
60,0.8869131207466125,0.4677857458591461,0.5226373672485352,0.808457612991333
61,0.892559826374054,0.4624260365962982,0.5657142400741577,0.7686942219734192
62,0.9006286263465881,0.4577375650405884,0.5461538434028625,0.7812364101409912
63,0.8974236249923706,0.45429912209510803,0.5228571891784668,0.8553839921951294
64,0.9072526693344116,0.4457901120185852,0.5580219626426697,0.7661316394805908
65,0.9035801291465759,0.44418492913246155,0.5562636852264404,0.8461789488792419
66,0.9105955958366394,0.4421372711658478,0.5470329523086548,0.784191906452179
67,0.9065091013908386,0.4442099630832672,0.5659340620040894,0.7927690148353577
68,0.9145947694778442,0.43366655707359314,0.5331868529319763,0.8033352494239807
69,0.9239985346794128,0.42602768540382385,0.5637362599372864,0.8023872375488281
70,0.9211512207984924,0.4274921715259552,0.5419780611991882,0.8243560194969177
71,0.9151805639266968,0.4316084086894989,0.5628571510314941,0.8505332469940186
72,0.924251914024353,0.42384058237075806,0.5672528147697449,0.7693868279457092
73,0.9295973181724548,0.4171637296676636,0.5584615468978882,0.8254678845405579
74,0.9357200264930725,0.40894150733947754,0.5386812686920166,0.9422394037246704
75,0.9414372444152832,0.399455189704895,0.5364835262298584,0.8433358669281006
76,0.9385054111480713,0.4035570025444031,0.5701098442077637,0.8353424072265625
77,0.9503678679466248,0.39481309056282043,0.601978063583374,0.7799243330955505
78,0.9498158097267151,0.39089205861091614,0.5061538815498352,0.89696204662323
79,0.9482160806655884,0.39177197217941284,0.5738461017608643,0.8315061926841736
80,0.9579916000366211,0.3785388767719269,0.5859341025352478,0.8332966566085815
81,0.9481738805770874,0.3922075033187866,0.5852746963500977,0.9009772539138794
82,0.9542177319526672,0.38103199005126953,0.5725274682044983,0.8624831438064575
83,0.9560962915420532,0.37708815932273865,0.5909890532493591,0.8384307622909546
84,0.9589943289756775,0.37224578857421875,0.5536263585090637,0.9070420265197754
85,0.9685951471328735,0.35560089349746704,0.5973626375198364,0.840233325958252
86,0.9665138125419617,0.36419323086738586,0.6103296279907227,0.9178300499916077
87,0.9656211137771606,0.3580924868583679,0.5731868147850037,0.8493944406509399
88,0.9640411734580994,0.36175358295440674,0.5872527360916138,0.8648061156272888
89,0.9754276275634766,0.3490811884403229,0.5810988545417786,0.8759452104568481
90,0.9663983583450317,0.35470524430274963,0.5657142996788025,0.8970674872398376
91,0.9718226194381714,0.3491615056991577,0.575164794921875,0.8744945526123047
92,0.9738278388977051,0.34018391370773315,0.5701099038124084,0.8784590363502502
93,0.9709495306015015,0.35098332166671753,0.5639561414718628,0.9350168108940125
94,0.9738841652870178,0.34780439734458923,0.6167032718658447,0.8606929779052734
95,0.9845496416091919,0.32242321968078613,0.5819780230522156,0.8658699989318848
96,0.9759964346885681,0.336325079202652,0.6083517074584961,0.9601222276687622
97,0.9812601804733276,0.32533615827560425,0.5723076462745667,0.9604116678237915
98,0.9778833985328674,0.33568471670150757,0.5883517265319824,0.9052937030792236
99,0.9826598763465881,0.3219890594482422,0.5876922607421875,1.021144151687622
