Model,Split,Label,Metric,Type,Score
LSwFW_model,0,NR-AR,AUC,Test,0.6970100651272941
LSwFW_model,0,NR-AhR,AUC,Test,0.882579428481626
LSwFW_model,0,NR-AR-LBD,AUC,Test,0.7528966131907309
LSwFW_model,0,NR-ER,AUC,Test,0.8052078774617067
LSwFW_model,0,NR-ER-LBD,AUC,Test,0.7522927689594356
LSwFW_model,0,NR-Aromatase,AUC,Test,0.8235923423423424
LSwFW_model,0,NR-PPAR-gamma,AUC,Test,0.8187685020722321
LSwFW_model,0,SR-ARE,AUC,Test,0.7693027839369303
LSwFW_model,0,SR-ATAD5,AUC,Test,0.8056282722513088
LSwFW_model,0,SR-HSE,AUC,Test,0.7337407643893095
LSwFW_model,0,SR-MMP,AUC,Test,0.9135379456149304
LSwFW_model,0,SR-p53,AUC,Test,0.8229795737122558
