Model,Split,Label,Metric,Type,Score
LS_model,0,NR-AR,AUC,Test,0.798
LS_model,0,NR-AhR,AUC,Test,0.896
LS_model,0,NR-AR-LBD,AUC,Test,0.808
LS_model,0,NR-ER,AUC,Test,0.835
LS_model,0,NR-ER-LBD,AUC,Test,0.825
LS_model,0,NR-Aromatase,AUC,Test,0.813
LS_model,0,NR-PPAR-gamma,AUC,Test,0.818
LS_model,0,SR-ARE,AUC,Test,0.799
LS_model,0,SR-ATAD5,AUC,Test,0.546
LS_model,0,SR-HSE,AUC,Test,0.572
LS_model,0,SR-MMP,AUC,Test,0.607
LS_model,0,SR-p53,AUC,Test,0.556
