epoch,loss,mae,mse,root_mean_squared_error
0,2.479205369949341,2.3605048656463623,8.241108894348145,2.8707332611083984
1,1.906799554824829,1.7881035804748535,4.52902889251709,2.1281514167785645
2,1.6572695970535278,1.5385712385177612,3.556439161300659,1.885852336883545
3,1.4780293703079224,1.3593225479125977,3.027553081512451,1.739986538887024
4,1.4645307064056396,1.345812201499939,2.6299099922180176,1.6216996908187866
5,1.4108794927597046,1.2921439409255981,2.586503028869629,1.6082608699798584
6,1.4063191413879395,1.287563443183899,2.5554769039154053,1.5985859632492065
7,1.350866675376892,1.2320921421051025,2.354675531387329,1.534495234489441
0,2.479205369949341,2.3605048656463623,8.241108894348145,2.8707332611083984
1,1.906799554824829,1.788103461265564,4.529028415679932,2.1281514167785645
2,1.6572695970535278,1.5385712385177612,3.556438446044922,1.8858522176742554
3,1.4780293703079224,1.3593225479125977,3.027552843093872,1.7399864196777344
4,1.4645307064056396,1.345812201499939,2.6299099922180176,1.6216996908187866
5,1.4108792543411255,1.2921438217163086,2.586503028869629,1.6082608699798584
6,1.40631902217865,1.2875635623931885,2.5554769039154053,1.5985859632492065
7,1.350866675376892,1.2320921421051025,2.354675769805908,1.534495234489441
8,1.3335574865341187,1.2147505283355713,2.108959913253784,1.4522258043289185
9,1.2047992944717407,1.085971474647522,1.8282579183578491,1.3521308898925781
10,1.0910913944244385,0.9722415208816528,1.5791730880737305,1.256651520729065
11,1.1094467639923096,0.9905871748924255,1.5685789585113525,1.2524292469024658
0,2.479205369949341,2.3605048656463623,8.241108894348145,2.8707332611083984
1,1.906799554824829,1.7881035804748535,4.52902889251709,2.1281514167785645
2,1.6572695970535278,1.5385712385177612,3.556438446044922,1.8858522176742554
3,1.4780293703079224,1.3593225479125977,3.027552843093872,1.7399864196777344
4,1.4645307064056396,1.345812201499939,2.6299102306365967,1.6216998100280762
5,1.4108794927597046,1.2921439409255981,2.586503028869629,1.6082608699798584
6,1.40631902217865,1.287563681602478,2.5554769039154053,1.5985859632492065
7,1.3508667945861816,1.2320921421051025,2.354675769805908,1.534495234489441
8,1.3335574865341187,1.2147506475448608,2.108959913253784,1.4522258043289185
9,1.2047994136810303,1.085971474647522,1.8282579183578491,1.3521308898925781
10,1.0910913944244385,0.9722415208816528,1.5791730880737305,1.256651520729065
11,1.1094468832015991,0.9905872941017151,1.568579077720642,1.2524292469024658
12,1.0958750247955322,0.977006733417511,1.5599414110183716,1.2489761114120483
13,1.0966968536376953,0.977821409702301,1.4527181386947632,1.2052875757217407
14,1.1099846363067627,0.991096019744873,1.525126338005066,1.2349600791931152
15,1.1231598854064941,1.0042611360549927,1.573171854019165,1.2542614936828613
16,1.074187994003296,0.9552831053733826,1.4258882999420166,1.194105625152588
17,1.0800917148590088,0.9611775875091553,1.407336711883545,1.186312198638916
18,1.0195846557617188,0.9006561636924744,1.237021565437317,1.1122146844863892
19,1.0519503355026245,0.9330019354820251,1.2870382070541382,1.1344770193099976
20,1.0816105604171753,0.9626526236534119,1.3668911457061768,1.169141173362732
21,1.033888816833496,0.9149159789085388,1.2654393911361694,1.1249175071716309
22,0.9871454834938049,0.8681641817092896,1.2305476665496826,1.1093004941940308
23,1.0089948177337646,0.8900037407875061,1.1771860122680664,1.0849820375442505
24,0.9320803880691528,0.8130781054496765,1.061214566230774,1.030152678489685
25,0.9740452170372009,0.8550399541854858,1.1320849657058716,1.0639947652816772
26,0.8819424510002136,0.7629302144050598,0.9537628889083862,0.9766078591346741
27,0.9371954798698425,0.8181727528572083,1.0424003601074219,1.0209801197052002
28,0.9214032888412476,0.8023717999458313,1.0379115343093872,1.0187793970108032
29,0.9729862213134766,0.8539491295814514,1.0764861106872559,1.0375385284423828
30,0.9126459360122681,0.7936058044433594,0.9746721386909485,0.9872548580169678
31,0.9851288199424744,0.8660858869552612,1.1236581802368164,1.0600274801254272
32,0.886100709438324,0.7670593857765198,0.9296827912330627,0.9642006158828735
33,0.9466949105262756,0.827650249004364,1.034373164176941,1.0170413255691528
34,0.9525952339172363,0.8335398435592651,1.057659387588501,1.028425693511963
35,0.9366784691810608,0.817620575428009,1.0031260251998901,1.0015617609024048
36,0.905242383480072,0.7861781120300293,0.9542246460914612,0.9768442511558533
37,0.9012869596481323,0.7822121977806091,0.9525904059410095,0.9760074019432068
38,0.9000685214996338,0.780986487865448,0.9454697966575623,0.9723526835441589
39,0.7940393090248108,0.6749549508094788,0.7264755964279175,0.8523353934288025
40,0.843105137348175,0.7240213751792908,0.8188943266868591,0.9049277901649475
41,0.9187175035476685,0.7996294498443604,1.016003131866455,1.007969856262207
42,0.8090969324111938,0.6900028586387634,0.7445699572563171,0.8628847002983093
43,0.8983108997344971,0.7792139649391174,0.9482520818710327,0.9737823605537415
44,0.8116569519042969,0.6925626397132874,0.7650007009506226,0.8746432065963745
45,0.9237724542617798,0.8046737909317017,0.9449863433837891,0.9721040725708008
46,0.8296161890029907,0.710510790348053,0.753461480140686,0.8680216073989868
47,0.8316352963447571,0.7125281691551208,0.794800341129303,0.8915157318115234
48,0.8460162281990051,0.7269099950790405,0.807515561580658,0.8986186981201172
49,0.9121776819229126,0.79306560754776,0.8981825113296509,0.9477249383926392
50,0.8640537261962891,0.7449339032173157,0.8526496887207031,0.9233903288841248
51,0.8844543099403381,0.7653363347053528,0.8710413575172424,0.9332959651947021
52,0.7780280709266663,0.6589071750640869,0.7006129622459412,0.8370262384414673
53,0.8112012147903442,0.6920785307884216,0.7881454825401306,0.8877755999565125
54,0.8434451818466187,0.7243171334266663,0.8024057149887085,0.8957710266113281
55,0.8550912141799927,0.7359582781791687,0.8105688095092773,0.9003159403800964
56,0.7747781872749329,0.6556416749954224,0.7087938785552979,0.8418989777565002
57,0.7576823234558105,0.6385424733161926,0.629671037197113,0.7935181260108948
58,0.8431633114814758,0.7240210175514221,0.7895317673683167,0.8885560035705566
