Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwoFW_lr_0.001_valacc,DenseModel_lr_0.001_valacc,LLDLwoFW_lr_0.001_trainacc,DenseModel_lr_0.001_trainacc
17,0.850000024,0.389999986,0.330000013,0.875555575,0.555555582,0.561111093,0.74000001,0.639999986,0.533333361,0.584444463
18,0.850000024,0.589999974,0.400000006,0.883333325,0.481111109,0.522222221,0.25999999,0.74000001,0.588888884,0.572222233
19,0.839999974,0.74000001,0.409999996,0.899999976,0.544444442,0.517777801,0.660000026,0.680000007,0.577777803,0.582222223
20,0.810000002,0.74000001,0.430000007,0.903333306,0.519999981,0.531111121,0.75,0.610000014,0.563333333,0.606666684
21,0.600000024,0.74000001,0.349999994,0.806666672,0.525555551,0.48777777,0.579999983,0.439999998,0.589999974,0.616666675
22,0.790000021,0.25999999,0.379999995,0.819999993,0.526666641,0.486666679,0.649999976,0.709999979,0.568888903,0.593333304
23,0.829999983,0.370000005,0.389999986,0.846666694,0.50777775,0.531111121,0.579999983,0.610000014,0.615555584,0.615555584
24,0.829999983,0.660000026,0.389999986,0.863333344,0.523333311,0.472222209,0.720000029,0.519999981,0.551111102,0.603333354
25,0.860000014,0.689999998,0.74000001,0.865555584,0.535555542,0.534444451,0.730000019,0.670000017,0.572222233,0.624444425
26,0.819999993,0.74000001,0.469999999,0.879999995,0.478888899,0.555555582,0.529999971,0.469999999,0.610000014,0.625555575
27,0.790000021,0.25999999,0.310000002,0.887777805,0.475555569,0.464444458,0.699999988,0.589999974,0.686666667,0.618888915
28,0.889999986,0.25999999,0.389999986,0.874444425,0.49888888,0.51222223,0.680000007,0.670000017,0.606666684,0.651111126
29,0.769999981,0.25999999,0.360000014,0.883333325,0.536666691,0.521111131,0.479999989,0.660000026,0.653333306,0.612222195
30,0.829999983,0.74000001,0.74000001,0.887777805,0.469999999,0.478888899,0.639999986,0.629999995,0.611111104,0.641111135
31,0.829999983,0.25999999,0.330000013,0.878888905,0.49000001,0.51111114,0.610000014,0.720000029,0.707777798,0.638888896
32,0.819999993,0.74000001,0.289999992,0.858888865,0.518888891,0.551111102,0.74000001,0.699999988,0.74888891,0.646666646
33,0.779999971,0.25999999,0.74000001,0.870000005,0.485555559,0.49777779,0.689999998,0.680000007,0.678888917,0.637777805
34,0.779999971,0.25999999,0.74000001,0.891111135,0.481111109,0.526666641,0.730000019,0.620000005,0.676666677,0.666666687
35,0.779999971,0.340000004,0.74000001,0.877777755,0.482222229,0.481111109,0.25999999,0.620000005,0.75444442,0.677777767
36,0.720000029,0.74000001,0.74000001,0.887777805,0.4911111,0.4911111,0.730000019,0.610000014,0.666666687,0.661111116
37,0.810000002,0.360000014,0.74000001,0.905555546,0.546666682,0.533333361,0.25999999,0.680000007,0.75222224,0.671111107
38,0.779999971,0.709999979,0.400000006,0.910000026,0.486666679,0.49333334,0.639999986,0.670000017,0.674444437,0.670000017
39,0.860000014,0.280000001,0.74000001,0.932222247,0.553333342,0.519999981,0.629999995,0.649999976,0.703333318,0.688888907
40,0.850000024,0.379999995,0.379999995,0.941111088,0.49555555,0.479999989,0.709999979,0.720000029,0.7588889,0.638888896
