Epoch,LLDLwFW_valauc,LLDLwoFW_valauc,DenseModel_valauc,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainauc,LLDLwoFW_trainauc,DenseModel_trainauc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc
35,0.893451214,0.627858579,0.727910578,0.839999974,0.680000007,0.75999999,0.994972229,0.613301456,0.746594667,0.963333309,0.618888915,0.671111107
36,0.910083175,0.563149691,0.688409507,0.860000014,0.25999999,0.680000007,0.98825866,0.632571757,0.758232594,0.948888898,0.653333306,0.674444437
37,0.918399155,0.576143444,0.73128897,0.819999993,0.75999999,0.629999995,0.983728945,0.644393981,0.75008899,0.945555568,0.641111135,0.665555537
38,0.920737982,0.668139279,0.677234948,0.860000014,0.720000029,0.660000026,0.990284026,0.671477735,0.767912924,0.953333318,0.647777796,0.678888917
39,0.91320163,0.619022906,0.709199488,0.819999993,0.340000004,0.610000014,0.9950369,0.638033092,0.778065741,0.966666639,0.612222195,0.692222238
40,0.925415933,0.610966682,0.687110186,0.860000014,0.769999981,0.660000026,0.993393362,0.63901341,0.772484601,0.965555549,0.627777755,0.691111088
41,0.926195443,0.641372144,0.702442825,0.860000014,0.660000026,0.649999976,0.990766168,0.674949408,0.787700832,0.954444468,0.678888917,0.692222238
42,0.916320205,0.619282722,0.702702701,0.860000014,0.649999976,0.649999976,0.993532419,0.713334501,0.777725995,0.959999979,0.725555539,0.696666658
43,0.91112262,0.644230723,0.702702701,0.850000024,0.699999988,0.680000007,0.991639614,0.670034826,0.79353112,0.956666648,0.651111126,0.703333318
44,0.884875178,0.672037423,0.653326333,0.819999993,0.25999999,0.579999983,0.998343468,0.694666088,0.806883633,0.986666679,0.683333337,0.712222219
45,0.898908496,0.700883567,0.643970907,0.870000005,0.75999999,0.649999976,0.996046305,0.694996059,0.804673851,0.975555539,0.722222209,0.720000029
46,0.909563363,0.679833651,0.657484353,0.850000024,0.699999988,0.569999993,0.997576714,0.715942264,0.805948615,0.984444439,0.699999988,0.720000029
47,0.884875178,0.703742146,0.730249524,0.800000012,0.74000001,0.699999988,0.99435097,0.710082829,0.816221178,0.976666689,0.676666677,0.714444458
48,0.909823179,0.663721323,0.685810804,0.850000024,0.730000019,0.660000026,0.99408561,0.731359005,0.800564885,0.966666639,0.707777798,0.722222209
49,0.907224536,0.599012494,0.678014517,0.839999974,0.25999999,0.579999983,0.994279683,0.708138347,0.826027691,0.967777789,0.721111119,0.74222225
50,0.927234888,0.64786911,0.644750535,0.850000024,0.790000021,0.689999998,0.994020998,0.659432232,0.829253435,0.973333359,0.641111135,0.725555539
51,0.910083055,0.658004165,0.692047834,0.860000014,0.75,0.689999998,0.998291671,0.705524206,0.836766124,0.978888869,0.708888888,0.75111109
52,0.902026951,0.70348233,0.695426166,0.850000024,0.790000021,0.74000001,0.998479426,0.69226855,0.853069484,0.982222199,0.671111107,0.763333321
53,0.894230723,0.684771299,0.682432413,0.860000014,0.280000001,0.629999995,0.99869287,0.648955882,0.831948519,0.983333349,0.624444425,0.733333349
54,0.907224596,0.646569669,0.657484412,0.850000024,0.25999999,0.560000002,0.99468416,0.689376116,0.854826272,0.978888869,0.711111128,0.766666651
55,0.891112208,0.667099833,0.672817051,0.850000024,0.709999979,0.550000012,0.999123096,0.679207146,0.859889686,0.98555553,0.653333306,0.782222211
56,0.896829486,0.666839898,0.681392908,0.839999974,0.75999999,0.610000014,0.999543726,0.732980013,0.866011202,0.99222225,0.74000001,0.75333333
57,0.895010412,0.654106081,0.671777546,0.879999995,0.75999999,0.589999974,0.999149084,0.74645555,0.860368669,0.98555553,0.75999999,0.75999999
58,0.892671525,0.655405462,0.672037363,0.879999995,0.389999986,0.620000005,0.994946241,0.739816487,0.875969827,0.973333359,0.721111119,0.75666666
59,0.897608995,0.667879343,0.642411649,0.839999974,0.74000001,0.579999983,0.990927875,0.744119585,0.877937078,0.968888879,0.75444442,0.772222221
60,0.889293075,0.687110186,0.693087339,0.819999993,0.75999999,0.730000019,0.994855642,0.770368636,0.886022329,0.964444458,0.74555558,0.782222211
