Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwFW_v1_valacc,LLDLwFW_v1_trainacc
49,0.829999983,0.74000001,0.610000014,0.977777779,0.576666653,0.74666667,0.850000024,0.966666639
50,0.860000014,0.469999999,0.589999974,0.980000019,0.572222233,0.73555553,0.850000024,0.975555539
51,0.829999983,0.340000004,0.699999988,0.968888879,0.605555534,0.772222221,0.870000005,0.986666679
52,0.839999974,0.610000014,0.660000026,0.982222199,0.565555573,0.74888891,0.839999974,0.99222225
53,0.839999974,0.569999993,0.74000001,0.98777777,0.571111083,0.75444442,0.839999974,0.981111109
54,0.839999974,0.560000002,0.75,0.99333334,0.552222252,0.763333321,0.839999974,0.99000001
55,0.829999983,0.569999993,0.709999979,0.99000001,0.575555563,0.765555561,0.850000024,0.9911111
56,0.860000014,0.540000021,0.649999976,0.971111119,0.591111124,0.769999981,0.870000005,0.981111109
57,0.850000024,0.600000024,0.74000001,0.963333309,0.556666672,0.765555561,0.850000024,0.984444439
58,0.870000005,0.430000007,0.699999988,0.963333309,0.577777803,0.783333361,0.850000024,0.98888886
59,0.839999974,0.50999999,0.639999986,0.980000019,0.565555573,0.793333352,0.870000005,0.972222209
60,0.860000014,0.460000008,0.709999979,0.99000001,0.588888884,0.794444442,0.860000014,0.978888869
61,0.850000024,0.74000001,0.660000026,0.99555558,0.529999971,0.811111093,0.870000005,0.99555558
62,0.829999983,0.560000002,0.660000026,0.984444439,0.575555563,0.822222233,0.850000024,0.9911111
63,0.810000002,0.529999971,0.75999999,0.971111119,0.592222214,0.810000002,0.839999974,0.98555553
64,0.819999993,0.540000021,0.680000007,0.977777779,0.614444435,0.816666663,0.860000014,0.951111138
65,0.839999974,0.74000001,0.790000021,0.966666639,0.593333304,0.832222223,0.829999983,0.957777798
66,0.819999993,0.439999998,0.629999995,0.982222199,0.563333333,0.828888893,0.879999995,0.98555553
67,0.839999974,0.74000001,0.709999979,0.99444443,0.566666663,0.831111133,0.870000005,0.983333349
68,0.829999983,0.74000001,0.730000019,0.99444443,0.593333304,0.864444435,0.860000014,0.99444443
69,0.829999983,0.479999989,0.649999976,0.99222225,0.604444444,0.846666694,0.850000024,0.99666667
70,0.839999974,0.560000002,0.689999998,0.99888891,0.528888881,0.862222195,0.850000024,0.99888891
71,0.839999974,0.50999999,0.689999998,0.99888891,0.593333304,0.871111095,0.839999974,0.99666667
72,0.839999974,0.540000021,0.660000026,1,0.554444432,0.866666675,0.860000014,0.99555558
73,0.839999974,0.460000008,0.75,1,0.585555553,0.871111095,0.850000024,1
74,0.839999974,0.460000008,0.670000017,0.99888891,0.583333313,0.881111085,0.839999974,0.99777776
75,0.839999974,0.74000001,0.699999988,1,0.553333342,0.864444435,0.850000024,0.99777776
76,0.839999974,0.449999988,0.730000019,1,0.575555563,0.883333325,0.850000024,0.99666667
77,0.850000024,0.74000001,0.689999998,1,0.568888903,0.886666656,0.839999974,1
78,0.850000024,0.50999999,0.680000007,1,0.560000002,0.894444466,0.850000024,0.99888891
79,0.850000024,0.360000014,0.730000019,1,0.597777784,0.897777796,0.870000005,0.98888886
80,0.850000024,0.370000005,0.699999988,1,0.589999974,0.898888886,0.819999993,0.978888869
81,0.860000014,0.479999989,0.680000007,1,0.573333323,0.895555556,0.839999974,0.959999979
82,0.850000024,0.50999999,0.75999999,1,0.567777753,0.918888867,0.839999974,0.983333349
83,0.839999974,0.49000001,0.75999999,1,0.587777793,0.918888867,0.819999993,0.986666679
84,0.850000024,0.579999983,0.639999986,0.983333349,0.605555534,0.914444447,0.860000014,0.982222199
85,0.819999993,0.49000001,0.689999998,0.932222247,0.593333304,0.925555527,0.850000024,0.99666667
86,0.769999981,0.439999998,0.709999979,0.944444418,0.639999986,0.916666687,0.839999974,0.98888886
87,0.850000024,0.74000001,0.680000007,0.975555539,0.574444473,0.938888907,0.850000024,0.99555558
88,0.870000005,0.439999998,0.699999988,0.983333349,0.585555553,0.945555568,0.819999993,0.99666667
89,0.850000024,0.519999981,0.720000029,0.99444443,0.567777753,0.935555577,0.829999983,0.99555558
90,0.839999974,0.540000021,0.720000029,0.99666667,0.550000012,0.943333328,0.850000024,0.99888891
91,0.829999983,0.519999981,0.74000001,1,0.573333323,0.944444418,0.860000014,0.99888891
92,0.850000024,0.589999974,0.639999986,1,0.589999974,0.943333328,0.839999974,0.99888891
93,0.839999974,0.529999971,0.680000007,1,0.600000024,0.954444468,0.850000024,1
94,0.850000024,0.469999999,0.660000026,1,0.588888884,0.955555558,0.850000024,1
95,0.839999974,0.49000001,0.75999999,1,0.595555544,0.941111088,0.850000024,1
96,0.860000014,0.74000001,0.689999998,1,0.567777753,0.944444418,0.850000024,1
97,0.850000024,0.550000012,0.680000007,1,0.615555584,0.956666648,0.850000024,0.99000001
98,0.860000014,0.519999981,0.689999998,1,0.608888865,0.952222228,0.839999974,0.98888886
99,0.850000024,0.529999971,0.720000029,1,0.625555575,0.963333309,0.839999974,0.99777776
100,0.850000024,0.519999981,0.709999979,1,0.571111083,0.963333309,0.839999974,0.99777776
101,0.850000024,0.479999989,0.720000029,1,0.603333354,0.971111119,0.839999974,1
102,0.850000024,0.519999981,0.699999988,1,0.613333344,0.956666648,0.850000024,0.99222225
103,0.850000024,0.469999999,0.75,1,0.576666653,0.971111119,0.860000014,0.974444449
104,0.850000024,0.540000021,0.720000029,1,0.613333344,0.967777789,0.850000024,0.967777789
105,0.850000024,0.430000007,0.709999979,1,0.614444435,0.976666689,0.810000002,0.956666648
106,0.850000024,0.550000012,0.730000019,1,0.596666694,0.955555558,0.860000014,0.98555553
107,0.850000024,0.469999999,0.680000007,1,0.589999974,0.961111128,0.850000024,0.9911111
108,0.850000024,0.479999989,0.689999998,1,0.588888884,0.975555539,0.829999983,0.99777776
109,0.850000024,0.5,0.689999998,1,0.585555553,0.984444439,0.850000024,0.99888891
110,0.850000024,0.5,0.689999998,1,0.596666694,0.986666679,0.829999983,0.99888891
