epoch,accuracy,loss,val_accuracy,val_loss
0,0.647777796,0.742129385,0.529999971,0.862770319
1,0.728888869,0.558477998,0.680000007,0.591437578
2,0.796666682,0.465820581,0.629999995,0.735141516
3,0.795555532,0.452545166,0.730000019,0.644030154
4,0.853333354,0.358445913,0.699999988,0.774802625
5,0.819999993,0.43653971,0.75,0.656234562
6,0.819999993,0.405356139,0.779999971,0.680515885
7,0.839999974,0.39759773,0.75,0.613988817
8,0.854444444,0.326636195,0.790000021,0.498143584
9,0.865555584,0.32885772,0.769999981,0.653005838
10,0.860000014,0.326655388,0.779999971,0.543018639
11,0.886666656,0.302755952,0.75,0.661284924
12,0.903333306,0.243495718,0.769999981,0.575405717
13,0.861111104,0.315797627,0.75,0.634449661
14,0.897777796,0.259700507,0.769999981,0.69348067
15,0.895555556,0.254976273,0.800000012,0.622617364
16,0.895555556,0.266349524,0.819999993,0.544951081
17,0.903333306,0.262823582,0.800000012,0.644451499
18,0.881111085,0.286726385,0.800000012,0.59376502
19,0.908888876,0.218392208,0.790000021,0.751039982
20,0.894444466,0.263838708,0.800000012,0.720020592
21,0.903333306,0.251450539,0.810000002,0.648652554
22,0.911111116,0.252750307,0.839999974,0.577067137
23,0.920000017,0.207802072,0.850000024,0.606666207
24,0.927777767,0.186472163,0.810000002,0.682418883
25,0.922222197,0.218840405,0.819999993,0.567686737
26,0.930000007,0.195210978,0.850000024,0.676976264
27,0.896666646,0.260134935,0.790000021,0.72161603
28,0.922222197,0.225625455,0.829999983,0.663064361
29,0.935555577,0.185816959,0.810000002,0.584420919
30,0.922222197,0.201283142,0.839999974,0.520414293
31,0.922222197,0.211493537,0.829999983,0.660285115
32,0.934444427,0.179790094,0.800000012,0.865423679
33,0.923333347,0.242881164,0.800000012,0.579819441
34,0.916666687,0.227887541,0.839999974,0.650554657
35,0.922222197,0.220484629,0.75,0.807754457
36,0.941111088,0.154372215,0.829999983,0.698412836
37,0.937777758,0.191706419,0.800000012,0.583491862
38,0.944444418,0.159201995,0.819999993,0.533534408
39,0.942222238,0.162371039,0.769999981,0.645054638
40,0.941111088,0.15559189,0.850000024,0.608448505
41,0.926666677,0.221052349,0.829999983,0.629823923
42,0.949999988,0.147600487,0.839999974,0.618634999
43,0.934444427,0.208965197,0.810000002,0.610649526
44,0.949999988,0.138158098,0.829999983,0.666746616
45,0.961111128,0.134741262,0.829999983,0.61232698
46,0.937777758,0.170888543,0.800000012,0.650057912
47,0.942222238,0.175751328,0.819999993,0.65442878
48,0.941111088,0.150330722,0.829999983,0.648416698
49,0.952222228,0.151609778,0.879999995,0.543456435
50,0.936666667,0.17833738,0.860000014,0.501299083
51,0.943333328,0.167634681,0.839999974,0.541243196
52,0.958888888,0.117148444,0.779999971,0.669199884
53,0.955555558,0.142038047,0.850000024,0.561020374
