epoch,accuracy,loss,val_accuracy,val_loss
18,0.897777795791626,0.28237611055374146,0.800000011920929,0.5952221155166626
19,0.8866666555404663,0.31400051712989807,0.7799999713897705,0.7458837032318115
20,0.8999999761581421,0.24467602372169495,0.7900000214576721,0.6477572917938232
21,0.9044444561004639,0.25919148325920105,0.7900000214576721,0.6403591632843018
22,0.9311110973358154,0.1809471696615219,0.8100000023841858,0.7210797071456909
23,0.9388889074325562,0.17586712539196014,0.7699999809265137,0.7611866593360901
24,0.9511111378669739,0.13155165314674377,0.7400000095367432,1.0151915550231934
25,0.9211111068725586,0.21177977323532104,0.800000011920929,0.7191681861877441
26,0.945555567741394,0.17279303073883057,0.7900000214576721,0.909606397151947
27,0.9355555772781372,0.1675020158290863,0.7599999904632568,1.015236735343933
28,0.897777795791626,0.255861759185791,0.7400000095367432,0.8340715765953064
29,0.9277777671813965,0.2033642679452896,0.7400000095367432,0.9818913340568542
30,0.9300000071525574,0.21238507330417633,0.75,0.8821468353271484
31,0.9300000071525574,0.18888068199157715,0.75,0.935854971408844
32,0.9588888883590698,0.13271652162075043,0.75,0.9999018311500549
33,0.9655555486679077,0.1086362823843956,0.7599999904632568,1.0991791486740112
34,0.9066666960716248,0.2882439196109772,0.7200000286102295,0.8352167010307312
35,0.9200000166893005,0.2148352861404419,0.75,0.8597897887229919
36,0.9466666579246521,0.1751817762851715,0.7799999713897705,0.8230482339859009
37,0.949999988079071,0.15289106965065002,0.7900000214576721,0.9064636826515198
38,0.9477777481079102,0.15498974919319153,0.75,0.9728830456733704
39,0.9333333373069763,0.20595534145832062,0.75,0.9858453273773193
40,0.9544444680213928,0.16738957166671753,0.7599999904632568,1.0226250886917114
41,0.9611111283302307,0.13569532334804535,0.75,1.053433895111084
42,0.9633333086967468,0.12043146044015884,0.8100000023841858,0.9226289987564087
43,0.9766666889190674,0.09148602187633514,0.7599999904632568,1.0628248453140259
44,0.949999988079071,0.13954748213291168,0.7900000214576721,0.861492931842804
45,0.9655555486679077,0.10130485892295837,0.7599999904632568,1.1928770542144775
46,0.9522222280502319,0.14574602246284485,0.7200000286102295,0.9824354648590088
47,0.9466666579246521,0.14670144021511078,0.7599999904632568,1.0903816223144531
48,0.9433333277702332,0.17226257920265198,0.7699999809265137,0.9575827717781067
49,0.9644444584846497,0.11606787145137787,0.75,0.9976794719696045
50,0.9722222089767456,0.09823597222566605,0.7900000214576721,0.9506276845932007
51,0.9722222089767456,0.08045227080583572,0.8100000023841858,1.097489595413208
52,0.9722222089767456,0.09863994270563126,0.8299999833106995,1.047686219215393
53,0.9522222280502319,0.14483389258384705,0.7699999809265137,1.0580157041549683
54,0.9555555582046509,0.1496826708316803,0.7599999904632568,1.0119874477386475
55,0.9711111187934875,0.10112536698579788,0.7699999809265137,1.3227448463439941
56,0.9622222185134888,0.10798649489879608,0.7699999809265137,1.1412951946258545
57,0.9666666388511658,0.09604442864656448,0.7900000214576721,1.0595197677612305
58,0.9755555391311646,0.08841004967689514,0.7699999809265137,1.559817910194397
59,0.9666666388511658,0.1261613368988037,0.7699999809265137,1.253757357597351
60,0.9611111283302307,0.11204840987920761,0.7799999713897705,1.0557119846343994
61,0.9633333086967468,0.12473573535680771,0.8100000023841858,0.9490968585014343
62,0.9700000286102295,0.11312169581651688,0.8199999928474426,1.0435190200805664
63,0.9566666483879089,0.16047966480255127,0.7900000214576721,0.9317286610603333
64,0.9744444489479065,0.08119700103998184,0.7799999713897705,1.243638277053833
65,0.9833333492279053,0.061774738132953644,0.800000011920929,1.0986570119857788
66,0.9844444394111633,0.0551852211356163,0.7900000214576721,1.3602253198623657
67,0.9588888883590698,0.15724794566631317,0.800000011920929,0.9385016560554504
68,0.9777777791023254,0.08058395981788635,0.8399999737739563,1.030407190322876
69,0.9677777886390686,0.1154179573059082,0.8199999928474426,0.9727063179016113
70,0.9711111187934875,0.11345741897821426,0.800000011920929,1.0092601776123047
71,0.9766666889190674,0.06726765632629395,0.8199999928474426,1.147912621498108
72,0.9833333492279053,0.06201562657952309,0.8399999737739563,1.2401903867721558
73,0.9622222185134888,0.11290740221738815,0.8500000238418579,1.1264461278915405
74,0.9477777481079102,0.1689925193786621,0.7900000214576721,1.1001752614974976
75,0.9522222280502319,0.16721053421497345,0.8199999928474426,0.9046565294265747
76,0.9477777481079102,0.1783515214920044,0.7599999904632568,1.176082730293274
77,0.9466666579246521,0.18913960456848145,0.800000011920929,0.8913784623146057
78,0.95333331823349,0.1657465249300003,0.75,1.0948100090026855
79,0.9477777481079102,0.17128753662109375,0.7400000095367432,1.4449799060821533
80,0.9555555582046509,0.16272909939289093,0.7799999713897705,1.3871060609817505
81,0.9477777481079102,0.19649749994277954,0.7599999904632568,1.2068607807159424
82,0.9411110877990723,0.21037207543849945,0.7400000095367432,1.902246356010437
83,0.9166666865348816,0.4018486738204956,0.7300000190734863,2.050797939300537
84,0.8855555653572083,0.6120646595954895,0.7099999785423279,1.7265549898147583
85,0.8833333253860474,0.48366400599479675,0.7300000190734863,1.0733851194381714
86,0.9355555772781372,0.23089897632598877,0.8100000023841858,1.0349986553192139
87,0.9300000071525574,0.24095462262630463,0.7599999904632568,0.8196888566017151
88,0.9566666483879089,0.1558058112859726,0.7699999809265137,0.9924313426017761
89,0.9666666388511658,0.15080329775810242,0.7599999904632568,1.192983865737915
90,0.9111111164093018,0.4052382707595825,0.800000011920929,0.8996854424476624
91,0.9555555582046509,0.15511181950569153,0.7799999713897705,1.0747106075286865
92,0.9599999785423279,0.12152363359928131,0.7799999713897705,1.3375164270401
93,0.9588888883590698,0.1564393788576126,0.7599999904632568,0.9776976108551025
94,0.9766666889190674,0.11085988581180573,0.800000011920929,1.2477667331695557
95,0.9755555391311646,0.09379709511995316,0.8199999928474426,1.277817964553833
96,0.9688888788223267,0.11422836035490036,0.7599999904632568,1.3600075244903564
97,0.9722222089767456,0.12657341361045837,0.7799999713897705,1.0433125495910645
98,0.9788888692855835,0.08774812519550323,0.7900000214576721,1.1862941980361938
99,0.9833333492279053,0.07380314916372299,0.7900000214576721,1.2327244281768799
0,0.5011110901832581,7.220414638519287,0.47999998927116394,8.061147689819336
1,0.503333330154419,7.7083330154418945,0.47999998927116394,8.06826114654541
2,0.503333330154419,7.709068775177002,0.47999998927116394,8.065826416015625
3,0.503333330154419,7.706179618835449,0.47999998927116394,8.062723159790039
4,0.503333330154419,7.703061103820801,0.47999998927116394,8.059621810913086
5,0.503333330154419,7.6999993324279785,0.47999998927116394,8.056609153747559
6,0.503333330154419,7.697041988372803,0.47999998927116394,8.053716659545898
7,0.503333330154419,7.694209575653076,0.47999998927116394,8.050954818725586
8,0.503333330154419,7.69150972366333,0.47999998927116394,8.048327445983887
9,0.503333330154419,7.688944339752197,0.47999998927116394,8.045830726623535
10,0.503333330154419,7.6865081787109375,0.47999998927116394,8.043462753295898
11,0.503333330154419,7.684196949005127,0.47999998927116394,8.041214942932129
12,0.503333330154419,7.682003974914551,0.47999998927116394,8.039080619812012
13,0.503333330154419,7.679919719696045,0.47999998927116394,8.037052154541016
14,0.503333330154419,7.677939414978027,0.47999998927116394,8.035124778747559
15,0.503333330154419,7.67605447769165,0.47999998927116394,8.033289909362793
16,0.503333330154419,7.67426061630249,0.47999998927116394,8.031540870666504
17,0.503333330154419,7.672549247741699,0.47999998927116394,8.029870986938477
18,0.503333330154419,7.67091703414917,0.47999998927116394,8.028277397155762
19,0.503333330154419,7.6693549156188965,0.47999998927116394,8.026752471923828
20,0.503333330154419,7.667862415313721,0.47999998927116394,8.02529525756836
21,0.503333330154419,7.666432857513428,0.47999998927116394,8.023898124694824
22,0.503333330154419,7.665062427520752,0.47999998927116394,8.02255630493164
23,0.503333330154419,7.663746356964111,0.47999998927116394,8.021269798278809
24,0.503333330154419,7.662482261657715,0.47999998927116394,8.02003288269043
25,0.503333330154419,7.66126823425293,0.47999998927116394,8.018843650817871
26,0.503333330154419,7.66010046005249,0.47999998927116394,8.01769733428955
27,0.503333330154419,7.6589741706848145,0.47999998927116394,8.016593933105469
28,0.503333330154419,7.657890796661377,0.47999998927116394,8.015531539916992
29,0.503333330154419,7.656844139099121,0.47999998927116394,8.014505386352539
30,0.503333330154419,7.65583610534668,0.47999998927116394,8.01351547241211
31,0.503333330154419,7.654862403869629,0.47999998927116394,8.012558937072754
32,0.503333330154419,7.653921127319336,0.47999998927116394,8.011634826660156
33,0.503333330154419,7.65300989151001,0.47999998927116394,8.010741233825684
34,0.503333330154419,7.652130603790283,0.47999998927116394,8.009876251220703
35,0.503333330154419,7.651281356811523,0.47999998927116394,8.009040832519531
36,0.503333330154419,7.650454998016357,0.47999998927116394,8.008230209350586
37,0.503333330154419,7.649658679962158,0.47999998927116394,8.007447242736816
38,0.503333330154419,7.648886203765869,0.47999998927116394,8.00668716430664
39,0.503333330154419,7.64813756942749,0.47999998927116394,8.005952835083008
40,0.503333330154419,7.647412300109863,0.47999998927116394,8.005237579345703
41,0.503333330154419,7.64670991897583,0.47999998927116394,8.004547119140625
42,0.503333330154419,7.646027565002441,0.47999998927116394,8.003876686096191
43,0.503333330154419,7.645366668701172,0.47999998927116394,8.003225326538086
44,0.503333330154419,7.644725322723389,0.47999998927116394,8.002594947814941
45,0.503333330154419,7.644103050231934,0.47999998927116394,8.001982688903809
46,0.503333330154419,7.64349889755249,0.47999998927116394,8.001389503479004
47,0.503333330154419,7.642914295196533,0.47999998927116394,8.000811576843262
48,0.503333330154419,7.6423444747924805,0.47999998927116394,8.000251770019531
49,0.503333330154419,7.641794204711914,0.47999998927116394,7.999709606170654
50,0.503333330154419,7.6412577629089355,0.47999998927116394,7.99918270111084
51,0.503333330154419,7.6407389640808105,0.47999998927116394,7.998671054840088
52,0.503333330154419,7.640234470367432,0.47999998927116394,7.998174667358398
53,0.503333330154419,7.639743328094482,0.47999998927116394,7.997691631317139
54,0.503333330154419,7.6392693519592285,0.47999998927116394,7.997224807739258
55,0.503333330154419,7.638808250427246,0.47999998927116394,7.996769428253174
56,0.503333330154419,7.638360500335693,0.47999998927116394,7.996328830718994
57,0.503333330154419,7.637922763824463,0.47999998927116394,7.995901107788086
58,0.503333330154419,7.6375017166137695,0.47999998927116394,7.995485305786133
59,0.503333330154419,7.637092113494873,0.47999998927116394,7.995080947875977
60,0.503333330154419,7.636693954467773,0.47999998927116394,7.994690418243408
61,0.503333330154419,7.636308193206787,0.47999998927116394,7.99431037902832
62,0.503333330154419,7.635932922363281,0.47999998927116394,7.993941783905029
63,0.503333330154419,7.6355695724487305,0.47999998927116394,7.9935832023620605
64,0.503333330154419,7.635217666625977,0.47999998927116394,7.9932403564453125
65,0.503333330154419,7.634876728057861,0.47999998927116394,7.992900848388672
66,0.503333330154419,7.6345415115356445,0.4699999988079071,8.007162094116211
67,0.503333330154419,7.634218215942383,0.4699999988079071,8.099943161010742
68,0.503333330154419,7.633907318115234,0.4699999988079071,8.14517593383789
69,0.503333330154419,7.633603572845459,0.4699999988079071,8.144877433776855
70,0.503333330154419,7.6333088874816895,0.4699999988079071,8.144588470458984
71,0.503333330154419,7.633025169372559,0.4699999988079071,8.144308090209961
72,0.503333330154419,7.632748126983643,0.4699999988079071,8.132732391357422
73,0.503333330154419,7.632480621337891,0.4699999988079071,8.104299545288086
74,0.503333330154419,7.632221221923828,0.4699999988079071,8.077229499816895
75,0.503333330154419,7.631969451904297,0.4699999988079071,8.061042785644531
76,0.507777750492096,7.584583282470703,0.49000000953674316,7.954884052276611
77,0.4911110997200012,7.964890003204346,0.47999998927116394,8.23039436340332
78,0.503333330154419,8.013229370117188,0.47999998927116394,8.42760944366455
79,0.503333330154419,8.052669525146484,0.47999998927116394,8.387067794799805
80,0.503333330154419,8.008678436279297,0.47999998927116394,8.345613479614258
81,0.503333330154419,7.971282482147217,0.47999998927116394,8.312387466430664
82,0.503333330154419,7.940926551818848,0.47999998927116394,8.28491497039795
83,0.503333330154419,7.915480613708496,0.47999998927116394,8.261548042297363
84,0.503333330154419,7.893633842468262,0.47999998927116394,8.241283416748047
85,0.503333330154419,7.874557971954346,0.47999998927116394,8.223461151123047
86,0.503333330154419,7.857696056365967,0.47999998927116394,8.207620620727539
87,0.503333330154419,7.842649936676025,0.47999998927116394,8.193425178527832
88,0.503333330154419,7.82912015914917,0.47999998927116394,8.18061637878418
89,0.503333330154419,7.816882133483887,0.47999998927116394,8.168994903564453
90,0.503333330154419,7.805755615234375,0.47999998927116394,8.158402442932129
91,0.503333330154419,7.795592784881592,0.47999998927116394,8.148707389831543
92,0.503333330154419,7.786275863647461,0.47999998927116394,8.139803886413574
93,0.503333330154419,7.777707576751709,0.47999998927116394,8.131601333618164
94,0.503333330154419,7.769802570343018,0.47999998927116394,8.124024391174316
95,0.503333330154419,7.762491226196289,0.47999998927116394,8.117005348205566
96,0.503333330154419,7.755713939666748,0.47999998927116394,8.110490798950195
97,0.503333330154419,7.749415874481201,0.47999998927116394,8.104432106018066
98,0.503333330154419,7.743553638458252,0.47999998927116394,8.098785400390625
99,0.503333330154419,7.73808479309082,0.47999998927116394,8.093512535095215
0,0.601111114025116,0.8721907734870911,0.5600000023841858,0.7203275561332703
1,0.7322221994400024,0.5350839495658875,0.7300000190734863,0.608375072479248
2,0.7766666412353516,0.4898167848587036,0.7200000286102295,0.5790846347808838
3,0.8022222518920898,0.4429386258125305,0.7099999785423279,0.5778892636299133
4,0.800000011920929,0.4364607036113739,0.7900000214576721,0.5264734625816345
5,0.8288888931274414,0.40592193603515625,0.7200000286102295,0.7380826473236084
6,0.8166666626930237,0.4157654047012329,0.7400000095367432,0.6223968267440796
7,0.8422222137451172,0.37609952688217163,0.8199999928474426,0.493003249168396
8,0.8677777647972107,0.32557541131973267,0.7699999809265137,0.5853896737098694
9,0.8866666555404663,0.3045586943626404,0.8299999833106995,0.5202305912971497
10,0.8688889145851135,0.3114919066429138,0.8399999737739563,0.48647916316986084
11,0.8888888955116272,0.2754190266132355,0.8500000238418579,0.5115140676498413
12,0.8711110949516296,0.30206528306007385,0.8600000143051147,0.39193886518478394
13,0.8855555653572083,0.29094845056533813,0.800000011920929,0.47801458835601807
14,0.9044444561004639,0.24475759267807007,0.8500000238418579,0.48880696296691895
15,0.8866666555404663,0.25751587748527527,0.8199999928474426,0.5316669940948486
16,0.9200000166893005,0.2159438282251358,0.8500000238418579,0.5488870143890381
17,0.8966666460037231,0.24876774847507477,0.800000011920929,0.4760705530643463
18,0.8966666460037231,0.2635115087032318,0.8799999952316284,0.47285711765289307
19,0.9088888764381409,0.21276059746742249,0.8299999833106995,0.5782368183135986
20,0.9155555367469788,0.2206515222787857,0.8600000143051147,0.4071429967880249
21,0.9088888764381409,0.2334406077861786,0.8199999928474426,0.521639347076416
22,0.8844444155693054,0.2767466604709625,0.75,0.5905225276947021
23,0.9122222065925598,0.2134946584701538,0.7900000214576721,0.43687283992767334
24,0.894444465637207,0.24864760041236877,0.8100000023841858,0.5086624622344971
