epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6877777576446533,0.7362737059593201,0.633929967880249,0.8299999833106995,0.8534303307533264,0.4908444285392761
1,0.7755555510520935,0.8494133353233337,0.4883260130882263,0.7699999809265137,0.8435550332069397,0.5046199560165405
2,0.7733333110809326,0.8609703779220581,0.4668136239051819,0.7699999809265137,0.8633055686950684,0.47167137265205383
3,0.8244444727897644,0.8986016511917114,0.40565550327301025,0.8199999928474426,0.9137214422225952,0.37937718629837036
4,0.8277778029441833,0.9065737128257751,0.3897853195667267,0.8100000023841858,0.8939709067344666,0.43701469898223877
5,0.8311111330986023,0.9164158701896667,0.3700709640979767,0.8299999833106995,0.9142411947250366,0.38174474239349365
6,0.8633333444595337,0.9361974000930786,0.32411301136016846,0.8100000023841858,0.883315920829773,0.46775707602500916
7,0.8244444727897644,0.9210166931152344,0.36127808690071106,0.7699999809265137,0.8708419799804688,0.5053227543830872
8,0.8688889145851135,0.9467707276344299,0.2994348108768463,0.8399999737739563,0.9152806997299194,0.3998153805732727
9,0.8722222447395325,0.9478998184204102,0.29264771938323975,0.8799999952316284,0.9277546405792236,0.36637234687805176
10,0.8666666746139526,0.9463629722595215,0.3012978434562683,0.8199999928474426,0.8937109112739563,0.4633671045303345
11,0.8811110854148865,0.9485437870025635,0.29211050271987915,0.8199999928474426,0.9176195859909058,0.4060789942741394
12,0.8788889050483704,0.9537949562072754,0.2775215208530426,0.8199999928474426,0.9280146360397339,0.40475499629974365
13,0.8922222256660461,0.966066837310791,0.23872502148151398,0.8500000238418579,0.917619526386261,0.43668991327285767
14,0.894444465637207,0.9622231125831604,0.2515765428543091,0.8600000143051147,0.91917884349823,0.39894813299179077
15,0.8966666460037231,0.9645462036132812,0.24213705956935883,0.7799999713897705,0.8989084959030151,0.46306365728378296
16,0.8966666460037231,0.969062864780426,0.2287980020046234,0.8100000023841858,0.9209978580474854,0.44200557470321655
17,0.9222221970558167,0.9736021161079407,0.21133726835250854,0.8399999737739563,0.9111226797103882,0.45565399527549744
18,0.9155555367469788,0.9772419333457947,0.196867898106575,0.8299999833106995,0.9007276296615601,0.486771821975708
19,0.9244444370269775,0.9793514013290405,0.18691343069076538,0.8399999737739563,0.9207381010055542,0.4379362463951111
20,0.9300000071525574,0.9812572598457336,0.17938396334648132,0.8500000238418579,0.9228169918060303,0.4365897476673126
21,0.9255555272102356,0.983803391456604,0.16639968752861023,0.8199999928474426,0.9191787242889404,0.45453131198883057
22,0.9211111068725586,0.9769961833953857,0.19643987715244293,0.8700000047683716,0.9194387197494507,0.475577712059021
23,0.9244444370269775,0.9761258363723755,0.19703447818756104,0.8399999737739563,0.8672036528587341,0.7315243482589722
24,0.9244444370269775,0.9800988435745239,0.1814376562833786,0.8299999833106995,0.9080041646957397,0.528588056564331
25,0.9277777671813965,0.9795488715171814,0.18441522121429443,0.8500000238418579,0.9170998334884644,0.48680415749549866
26,0.9444444179534912,0.9874206185340881,0.14424099028110504,0.8500000238418579,0.9183992147445679,0.5170572996139526
27,0.9444444179534912,0.990487813949585,0.13096927106380463,0.8500000238418579,0.9254158139228821,0.5038492679595947
28,0.95333331823349,0.9896758198738098,0.13115762174129486,0.8100000023841858,0.9030665159225464,0.6327141523361206
29,0.9288889169692993,0.9814608693122864,0.17865481972694397,0.8700000047683716,0.9165800213813782,0.5483085513114929
30,0.949999988079071,0.9904943108558655,0.12905076146125793,0.8999999761581421,0.9256757497787476,0.535103976726532
31,0.9544444680213928,0.9900348782539368,0.12839917838573456,0.8199999928474426,0.894230842590332,0.6557697057723999
32,0.95333331823349,0.9924193024635315,0.11423400789499283,0.8600000143051147,0.9173597097396851,0.6350035071372986
33,0.9555555582046509,0.9925681352615356,0.11178091168403625,0.8399999737739563,0.9134616255760193,0.6230695247650146
34,0.9666666388511658,0.9944868087768555,0.0952627956867218,0.8299999833106995,0.9246363043785095,0.5694692134857178
35,0.9633333086967468,0.9949722290039062,0.09318224340677261,0.8399999737739563,0.8934512138366699,0.7949540615081787
36,0.948888897895813,0.9882586598396301,0.12771792709827423,0.8600000143051147,0.9100831747055054,0.6665964722633362
